latitude,longitude,hour,day_of_week,crowd_score
20.924356166386307,77.58511705120772,9,4,18.0
21.731000028973884,77.540936397216,20,2,35.58
21.42479151853597,79.5187637415631,4,0,5.0
21.23812187787585,77.54863859954851,22,2,16.23
20.61842609661941,77.61584917838589,19,0,37.09
20.618392328470684,79.07819478725389,19,6,63.88
20.48131705703548,78.14921952735162,5,4,5.0
21.612646604084908,79.13013167086554,3,5,26.21
21.241561016440492,76.99609847269315,1,4,5.0
21.391301608914464,78.26271358102015,21,6,44.59
20.42881829201412,76.90084080054984,15,3,53.69
21.757873793026793,76.98795961036606,17,3,29.97
21.56541969712059,79.51931236003323,4,3,5.0
20.697274754949586,77.21773611335279,21,4,16.13
20.65455495408994,78.39726204682565,3,1,5.0
20.656766313794805,78.03328680780211,12,4,45.97
20.82593914014335,77.84202997877652,18,6,72.85
21.134659004285133,79.49950003706181,22,6,40.8
21.00472302609896,76.86547019032646,1,5,28.6
20.80772079627726,78.79136905852677,12,2,52.89
21.25659405261133,79.69018330264065,10,4,26.21
20.595291404912857,78.48050455038552,21,4,14.67
20.809002507949305,79.61046738609927,3,0,5.0
20.912906580611168,76.95677363785806,21,6,52.36
21.03849797790385,78.05637995722248,19,0,25.13
21.49924634595022,77.58047337288615,19,0,31.62
20.679543295021702,78.9924628949422,14,4,49.49
21.119928213779055,79.74389127149173,3,1,5.0
21.22938039640686,77.56959018733274,8,2,26.58
20.465030577807994,78.76252380442222,6,2,13.95
21.250562792662013,77.39429289827922,18,6,74.85
20.63873377316221,78.49599076371483,18,5,56.9
20.49107223017939,78.191797460065,5,6,25.01
21.728439752154667,79.71601598889461,5,1,5.0
21.751884846304385,78.6255818180894,19,1,30.38
21.531756287363045,77.84851911626045,14,2,43.39
20.82645927684272,77.1422873546638,14,3,48.9
20.536740959608935,77.2537404862048,19,0,33.67
21.35792623711702,77.4759507898537,8,0,23.37
21.01621349123544,77.5528999840209,3,2,5.0
20.57085352878269,79.35184817352341,17,6,64.87
21.093247674155776,78.48366836484757,17,1,23.89
20.448143929561304,78.3701727341231,4,6,24.32
21.673048562910296,77.14430661560765,19,5,61.49
20.76229197424002,79.3804190800483,22,3,9.05
21.327531198095574,78.96844290962545,10,2,17.14
20.836395506525175,77.0030050857,4,0,5.0
21.128095229648935,78.92350529168931,21,4,15.64
21.165394391080593,78.43061465202794,3,6,26.35
20.658796237735736,77.04517603724034,11,1,45.97
21.75741847887038,78.17490192458597,1,4,5.0
21.48518595270556,78.25408886139014,12,5,99.0
21.715298518189865,77.29732362048982,9,2,19.88
21.652758290598708,79.63709444100084,8,6,51.77
21.23705997033552,79.34992611444198,9,0,19.44
21.690623929032363,78.80706701198733,6,6,42.34
20.523889502872684,78.18688668300182,3,3,5.0
20.6743760073868,78.03529662475353,18,4,30.41
20.463318204474753,78.75292040145285,9,3,21.04
20.85546246306857,78.43629560822072,2,5,28.03
20.944148205565273,76.98681931764565,20,0,36.02
20.779888644483453,78.33750794631099,18,4,29.46
21.5602325128127,79.21921085169852,20,5,59.54
20.899454657371024,78.17771963279087,1,3,5.0
20.79330831356233,76.9558697326628,19,3,30.34
21.159774516421546,79.1588345981521,9,4,30.24
20.597293914964666,77.40409134640792,1,0,5.0
21.523075773055655,77.57586250466412,1,3,5.0
20.504370901151677,77.29411906029688,23,2,5.0
21.781641711240724,77.79064519461448,16,5,95.18
21.48114267701532,79.0702545170659,15,4,58.34
20.67820195414784,78.35815757851181,15,1,48.43
20.40773096397304,77.41464382245213,13,1,47.82
21.541645999836767,79.43349023445612,6,0,16.91
21.389600281386663,79.43874556485459,20,2,29.3
21.420610035257383,79.41173527513801,10,3,23.76
21.479778485360324,77.51638863414462,23,1,5.0
20.503662512427724,78.15371803254295,0,0,5.0
20.901852019961982,79.75496896842262,10,5,55.52
20.56221668333518,79.11603742892997,22,2,12.62
21.608344796225833,76.88150226367668,20,2,37.34
21.272617377558582,76.99561377378147,3,6,22.63
20.863257234793707,78.19179413043699,6,0,14.97
20.488981690400433,79.52766061758467,14,0,46.37
20.835375250401928,78.41610539385815,17,6,63.27
20.855256650837447,78.29343752410287,11,3,44.51
21.42144864967329,77.11642109986988,16,0,45.32
21.292580459897298,78.77034031417288,0,6,17.38
21.64209783960686,79.26630948180068,10,3,15.27
21.06110089522673,77.94126002252268,0,3,5.0
20.567431944313622,79.12683555277599,14,4,52.42
21.39854270211219,79.69342996170244,20,2,30.78
21.465099068063658,77.41129937738306,9,5,61.27
21.185788076597294,78.36998889358422,6,2,8.55
21.479354051936387,77.66141387425372,1,2,5.0
21.091313834910146,79.17856325710152,9,4,34.09
